sender_account,receiver_account,amount_inr,timestamp,txn_type,flagged_risk_score
# MAIN CRIMINAL BOSS - Ultra high centrality orchestrator
ACC_CRIM_BOSS,ACC_MULE_1,500000,2024-01-15T09:00:00Z,transfer,0.9
ACC_CRIM_BOSS,ACC_MULE_2,450000,2024-01-15T10:30:00Z,transfer,0.88
ACC_CRIM_BOSS,ACC_MULE_3,400000,2024-01-15T12:00:00Z,transfer,0.85
ACC_CRIM_BOSS,ACC_MULE_4,350000,2024-01-15T14:00:00Z,transfer,0.82
ACC_CRIM_BOSS,ACC_MULE_5,300000,2024-01-15T16:00:00Z,transfer,0.8
ACC_CRIM_BOSS,ACC_MULE_6,250000,2024-01-15T18:00:00Z,transfer,0.78
ACC_CRIM_BOSS,ACC_MULE_7,200000,2024-01-15T20:00:00Z,transfer,0.75
ACC_CRIM_BOSS,ACC_MULE_8,180000,2024-01-16T08:00:00Z,transfer,0.72
ACC_CRIM_BOSS,ACC_MULE_9,150000,2024-01-16T10:00:00Z,transfer,0.7
ACC_CRIM_BOSS,ACC_MULE_10,120000,2024-01-16T12:00:00Z,transfer,0.68
ACC_CRIM_BOSS,ACC_MULE_11,100000,2024-01-16T14:00:00Z,transfer,0.65
ACC_CRIM_BOSS,ACC_MULE_12,80000,2024-01-16T16:00:00Z,transfer,0.62
# PRIMARY MONEY LAUNDERING CHAINS
ACC_MULE_1,ACC_MULE_2,450000,2024-01-15T11:00:00Z,transfer,0.85
ACC_MULE_2,ACC_MULE_3,400000,2024-01-15T13:00:00Z,transfer,0.8
ACC_MULE_3,ACC_FINAL_DEST_1,350000,2024-01-15T15:30:00Z,transfer,0.75
ACC_MULE_4,ACC_MULE_5,315000,2024-01-15T12:30:00Z,transfer,0.78
ACC_MULE_5,ACC_FINAL_DEST_2,270000,2024-01-15T17:30:00Z,transfer,0.72
ACC_MULE_6,ACC_MULE_7,225000,2024-01-15T14:30:00Z,transfer,0.7
ACC_MULE_7,ACC_FINAL_DEST_3,180000,2024-01-15T19:30:00Z,transfer,0.65
# SECONDARY LAUNDERING CHAINS
ACC_MULE_8,ACC_MULE_9,162000,2024-01-16T09:30:00Z,transfer,0.68
ACC_MULE_9,ACC_MULE_10,108000,2024-01-16T13:00:00Z,transfer,0.62
ACC_MULE_10,ACC_FINAL_DEST_4,90000,2024-01-16T17:00:00Z,transfer,0.58
ACC_MULE_11,ACC_MULE_12,72000,2024-01-16T15:00:00Z,transfer,0.55
ACC_MULE_12,ACC_FINAL_DEST_5,54000,2024-01-16T19:00:00Z,transfer,0.5
# REVERSE LAUNDERING - Mules returning smaller amounts
ACC_MULE_1,ACC_CRIM_BOSS,50000,2024-01-16T08:30:00Z,transfer,0.6
ACC_MULE_2,ACC_CRIM_BOSS,45000,2024-01-16T10:30:00Z,transfer,0.55
